AgentId,Start,Seed,Floor,Reward,Steps,Time
26,0,35,1,1.2,801,15748.5258965
5,0,34,0,0.0,601,15769.4460203
31,0,94,0,0.0,601,15740.838919099999
8,0,80,1,1.2,801,15763.605923399999
12,0,78,2,2.2,1001,15762.503168
40,0,25,0,0.0,601,15729.9783588
46,0,41,2,2.6,1001,15723.0653157
7,0,9,2,2.3,1001,15765.020105
27,0,74,1,1.0,801,15739.207178999999
48,0,14,1,1.2,801,15718.1270166
19,0,24,2,2.6,1001,15746.2966205
20,0,86,1,1.0,801,15742.3416093
45,0,29,1,1.2,801,15714.4881362
39,0,86,1,1.2,801,15719.768164899999
44,0,59,2,2.3,1001,15714.891647
2,0,96,1,1.2,801,15755.9626331
18,0,85,2,2.2,1101,15734.630524499999
13,0,61,1,1.0,801,15736.9501869
49,0,82,0,0.0,601,15697.4180404
22,0,69,1,1.0,801,15720.073653
1,0,90,0,0.0,601,15738.6780096
14,0,99,1,1.1,801,15723.179403600001
25,0,32,0,0.0,601,15712.904458899999
33,0,39,3,3.7,1201,15700.1205543
34,0,51,3,4.0,1201,15701.6966027
6,0,0,3,3.7,1401,15724.5861125
37,0,36,0,0.0,601,15692.565770599998
23,0,93,1,1.1,801,15710.0092967
9,0,41,3,4.0,1201,15719.172415
30,0,39,4,5.2,1401,15697.588591299998
36,0,88,1,1.2,801,15690.7851103
5,0,99,1,1.2,801,15720.063878899999
24,0,53,0,0.0,601,15700.649569000001
29,0,99,2,2.4,1101,15694.6699109
35,0,33,1,1.2,801,15688.423779899998
16,0,93,1,1.2,801,15706.8089092
31,0,43,2,2.5,1101,15689.7972669
11,0,83,3,3.8,1401,15713.1696607
43,0,64,1,1.2,801,15677.3228177
40,0,27,2,2.2,1001,15678.9558024
38,0,77,2,2.3,1101,15679.8030203
4,0,71,1,1.0,801,15712.8429681
0,0,25,0,0.0,601,15716.9286062
42,0,99,3,3.7,1201,15675.174015499999
32,0,92,0,0.0,601,15677.877911099999
3,0,22,1,1.0,801,15707.751599899999
26,0,0,3,3.6,1201,15681.5166253
28,0,48,2,2.4,1101,15679.026170399999
8,0,21,2,2.2,1001,15696.4676657
10,0,1,1,1.2,801,15694.8915167
41,0,32,0,0.0,601,15661.1932299
15,0,76,3,3.9,1201,15684.0888162
21,0,5,2,2.6,1001,15677.5339787
27,0,73,1,1.1,801,15671.205311799999
48,0,13,1,1.2,801,15650.1087003
20,0,82,0,0.0,601,15675.4252198
49,0,14,1,1.2,801,15646.352127499998
47,0,82,0,0.0,601,15647.5892147
45,0,65,1,1.0,136,15647.162311099999
39,0,98,0,0.0,601,15652.446025
17,0,67,1,1.1,801,15672.177429599999
1,0,61,1,1.1,801,15687.4590363
12,0,31,2,2.4,1101,15678.3482082
2,0,92,3,3.8,1201,15687.622168599999
46,0,77,2,2.2,1101,15638.7506793
7,0,94,1,1.0,801,15680.718316499999
25,0,12,2,2.2,1101,15660.857176
13,0,72,2,2.6,1001,15669.0559557
19,0,30,0,0.0,601,15661.871377599999
45,0,28,2,2.2,1001,15635.1979731
37,0,46,2,2.6,1101,15640.4939234
22,0,45,2,2.5,1001,15652.5433149
24,0,77,2,2.2,1001,15649.5809281
44,0,21,2,2.4,1001,15630.5879054
14,0,2,2,2.3,1001,15655.6754426
0,0,18,0,0.0,601,15667.3574238
23,0,86,1,1.2,801,15642.891971
18,0,37,1,1.1,801,15642.968805699998
32,0,81,1,1.1,801,15628.401853399999
36,0,97,0,0.0,601,15623.569043599999
5,0,10,2,2.6,1001,15651.8816861
35,0,13,1,1.1,801,15620.6849917
16,0,43,1,1.2,801,15639.071136699999
43,0,52,2,2.5,1001,15610.7702221
41,0,95,0,0.0,185,15610.8085542
4,0,47,1,1.0,801,15646.5834906
20,0,24,3,3.6,1301,15625.7754439
47,0,32,0,0.0,601,15598.1492948
3,0,50,2,2.2,1101,15641.6420115
39,0,96,2,2.3,1101,15602.815773299999
41,0,65,1,1.2,801,15596.8356731
40,0,23,3,4.0,1201,15596.463687399999
10,0,24,3,3.6,1301,15628.1084823
33,0,2,2,2.6,1101,15600.0939725
27,0,55,2,2.3,1101,15605.739101699999
48,0,52,2,2.5,1001,15584.631414599999
19,0,32,0,0.0,601,15612.8309385
29,0,44,1,1.0,801,15602.4294192
34,0,23,3,3.7,1201,15600.8449021
31,0,66,2,2.6,1101,15598.601372399999
49,0,98,1,1.2,801,15580.185074699999
9,0,83,1,1.2,801,15618.5600425
38,0,91,2,2.4,1001,15588.751663000001
17,0,96,2,2.4,1101,15606.1073709
1,0,28,2,2.3,1001,15621.3879268
8,0,66,2,2.5,1101,15613.2192502
7,0,33,1,1.2,801,15615.2740996
28,0,59,1,1.2,801,15588.6854235
21,0,97,2,2.3,1001,15595.3830606
0,0,85,0,0.0,601,15618.0672865
42,0,39,2,2.6,1001,15576.3816395
6,0,23,1,1.1,801,15607.152811
30,0,5,2,2.6,1001,15580.8054452
36,0,94,1,1.0,801,15573.863113899999
26,0,42,1,1.1,801,15582.3073547
11,0,16,1,1.1,801,15598.1165627
15,0,23,1,1.2,801,15585.7482092
13,0,19,2,2.4,1001,15587.404224599999
45,0,79,1,1.2,801,15553.876141899998
12,0,40,1,1.2,801,15588.654484699999
47,0,72,0,0.0,601,15549.579238799999
23,0,96,2,2.2,1101,15577.1361511
18,0,23,2,2.3,1001,15577.1889127
46,0,98,0,0.0,601,15547.8987437
32,0,58,2,2.5,1201,15561.6556565
25,0,95,0,0.0,601,15570.0451416
22,0,31,2,2.3,1001,15569.783146799999
24,0,52,2,2.4,1001,15566.786144400001
35,0,56,2,2.6,1201,15554.8076391
16,0,64,2,2.5,1001,15573.237512
44,0,81,1,1.1,801,15547.360130000001
2,0,54,1,1.0,801,15588.5374922
37,0,10,2,2.6,1201,15550.0181258
14,0,37,1,1.1,801,15572.0649259
4,0,16,1,1.0,801,15580.317793999999
19,0,54,1,1.0,801,15562.263408899998
5,0,46,1,1.2,740,15570.4308045
43,0,40,1,1.2,801,15529.0279947
41,0,54,1,1.1,801,15529.9961794
0,0,43,1,1.2,801,15569.130411799999
29,0,54,1,1.0,801,15537.365319699999
49,0,88,1,1.2,801,15514.998296799999
9,0,7,2,2.6,1001,15552.606141299999
7,0,30,1,1.0,801,15550.927413899999
3,0,98,1,1.0,801,15551.812084599998
39,0,68,2,2.6,1001,15513.0233209
28,0,83,1,1.2,801,15523.127026799999
48,0,22,1,1.1,801,15502.8261623
6,0,22,2,2.4,1101,15542.61242
47,0,49,1,1.0,801,15500.4443794
46,0,52,2,2.4,1001,15500.0304502
38,0,54,1,1.0,801,15507.6802391
36,0,89,1,1.1,801,15508.958824599998
25,0,77,2,2.2,1001,15521.9253995
26,0,85,0,0.0,601,15517.2334168
33,0,65,1,1.2,801,15509.7328494
27,0,56,2,2.6,1101,15514.6241015
1,0,70,1,1.1,801,15539.2330957
31,0,69,1,1.0,801,15508.128529799998
11,0,74,1,1.2,801,15531.5170545
20,0,98,1,1.1,801,15518.420459699999
40,0,25,0,0.0,601,15497.263721899999
15,0,13,1,1.0,801,15519.4481549
21,0,80,1,1.2,801,15512.9251474
42,0,45,2,2.4,1001,15493.947297699999
45,0,30,1,1.0,801,15487.417464
34,0,10,1,1.2,801,15502.1328282
17,0,94,0,0.0,601,15515.5256553
8,0,62,3,4.0,1201,15521.875391599999
12,0,62,1,1.2,801,15520.832142399999
10,0,89,1,1.2,801,15520.167628199999
30,0,90,1,1.1,801,15497.3439411
44,0,42,1,1.1,801,15481.9807229
2,0,56,2,2.5,1101,15523.1225268
14,0,42,1,1.0,801,15506.8636336
4,0,14,1,1.2,801,15514.358429099999
13,0,85,0,0.0,601,15504.0384407
19,0,2,1,1.2,801,15496.9546392
5,0,22,1,1.0,801,15509.0694259
18,0,28,2,2.3,1001,15494.3452308
22,0,50,1,1.2,801,15487.6241096
24,0,37,1,1.1,801,15484.656711200001
